STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER
ANDHRA PRADESH,ADILABAD,2001,101,60
ANDHRA PRADESH,ANANTAPUR,2001,151,125
ANDHRA PRADESH,CHITTOOR,2001,101,57
ANDHRA PRADESH,CUDDAPAH,2001,80,53
ANDHRA PRADESH,EAST GODAVARI,2001,82,67
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1
ANDHRA PRADESH,GUNTUR,2001,182,88
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113
ANDHRA PRADESH,KARIMNAGAR,2001,162,85
ANDHRA PRADESH,KHAMMAM,2001,93,60
ANDHRA PRADESH,KRISHNA,2001,65,51
ANDHRA PRADESH,KURNOOL,2001,133,72
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67
ANDHRA PRADESH,MEDAK,2001,101,56
ANDHRA PRADESH,NALGONDA,2001,122,60
ANDHRA PRADESH,NELLORE,2001,89,69
ANDHRA PRADESH,NIZAMABAD,2001,106,49
ANDHRA PRADESH,PRAKASHAM,2001,102,82
ANDHRA PRADESH,RANGA REDDY,2001,214,95
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0
ANDHRA PRADESH,SRIKAKULAM,2001,38,10
ANDHRA PRADESH,VIJAYAWADA,2001,53,44
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14
ANDHRA PRADESH,WARANGAL,2001,158,79
ANDHRA PRADESH,WEST GODAVARI,2001,77,58
ANDHRA PRADESH,TOTAL,2001,2602,1555
ARUNACHAL PRADESH,CHANGLANG,2001,11,2
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2
ARUNACHAL PRADESH,LOHIT,2001,16,6
ARUNACHAL PRADESH,PAPUM PARE,2001,11,8
ARUNACHAL PRADESH,SIANG EAST,2001,7,0
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1
ARUNACHAL PRADESH,SIANG WEST,2001,5,14
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0
ARUNACHAL PRADESH,TAWANG,2001,2,0
ARUNACHAL PRADESH,TIRAP,2001,8,4
ARUNACHAL PRADESH,TOTAL,2001,83,53
ASSAM,BARPETA,2001,64,5
ASSAM,BONGAIGAON,2001,45,22
ASSAM,C.I.D.,2001,0,0
ASSAM,CACHAR,2001,52,30
ASSAM,DARRANG,2001,61,13
ASSAM,DHEMAJI,2001,15,16
ASSAM,DHUBRI,2001,65,23
ASSAM,DIBRUGARH,2001,110,22
ASSAM,G.R.P.,2001,13,1
ASSAM,GOALPARA,2001,28,12
ASSAM,GOLAGHAT,2001,53,2
ASSAM,GUWAHATI CITY,2001,71,44
ASSAM,HAILAKANDI,2001,18,4
ASSAM,JORHAT,2001,40,22
ASSAM,KAMRUP,2001,37,30
ASSAM,KARBI ANGLONG,2001,65,26
ASSAM,KARIMGANJ,2001,32,20
ASSAM,KOKRAJHAR,2001,87,27
ASSAM,LAKHIMPUR,2001,26,21
ASSAM,MORIGAON,2001,20,9
ASSAM,N.C.HILLS,2001,17,8
ASSAM,NAGAON,2001,95,22
ASSAM,NALBARI,2001,79,36
ASSAM,R.P.O.,2001,11,0
ASSAM,SIBSAGAR,2001,59,24
ASSAM,SONITPUR,2001,86,25
ASSAM,TINSUKIA,2001,107,17
ASSAM,TOTAL,2001,1356,481
BIHAR,ARARIA,2001,47,27
BIHAR,ARWAL,2001,37,64
BIHAR,AURANGABAD,2001,74,46
BIHAR,BAGAHA,2001,34,67
BIHAR,BANKA,2001,93,16
BIHAR,BEGUSARAI,2001,124,77
BIHAR,BETTIAH,2001,66,9
BIHAR,BHABHUA,2001,41,25
BIHAR,BHAGALPUR,2001,128,73
BIHAR,BHOJPUR,2001,135,33
BIHAR,BUXAR,2001,56,38
BIHAR,DARBHANGA,2001,53,64
BIHAR,GAYA,2001,200,170
BIHAR,GOPALGANJ,2001,107,92
BIHAR,JAMALPUR RLY.,2001,7,0
BIHAR,JAMUI,2001,67,74
BIHAR,JEHANABAD,2001,73,80
BIHAR,KATIHAR,2001,60,47
BIHAR,KATIHAR RLY.,2001,7,0
BIHAR,KHAGARIA,2001,72,27
BIHAR,KISHANGANJ,2001,25,15
BIHAR,LAKHISARAI,2001,61,44
BIHAR,MADHEPURA,2001,56,23
BIHAR,MADHUBANI,2001,35,65
BIHAR,MOTIHARI,2001,114,98
BIHAR,MUNGER,2001,51,108
BIHAR,MUZAFFARPUR,2001,153,162
BIHAR,MUZAFFARPUR RLY.,2001,13,3
BIHAR,NALANDA,2001,208,249
BIHAR,NAUGACHIA,2001,36,65
BIHAR,NAWADAH,2001,77,54
